NAME,PLACEHOLDER,ROLE_OF_PLACEHOLDER,STANDARD_NAMES,SOURCE_SUPPLIER,SUPPLYING_COMPANY,FUNCTIONAL_ROLES,MENTIONED_EXAMPLES,IS_ACTIVE_INGREDIENT,IS_STRUCTURAL_COMPONENT
mineral salt,,,"calcium chloride, sodium chloride, potassium chloride, lithium chloride, magnesium chloride",,,viscosity modifier,"calcium chloride, sodium chloride, potassium chloride, lithium chloride, magnesium chloride",False,True
"Crosslinked Acrylic Acid Homopolymer, crosslinked acrylic acid homopolymer",,,"Carbomer, Crosslinked Acrylic Acid Homopolymer",,,"Emulsion Stabilizer, emulsifier","an allyl ether of propylene, an allyl ether of sucrose, homopolymer of acrylic acid crosslinked with an allyl ether of pentaerythritol",False,True
xanthan gum,,,Xanthan Gum,,,"thickening agent, emulsion stabilizer",,False,True
Sodium Alginate,,,"Sodium Alginate, Ammonium Alginate, Potassium Alginate",,,Emulsion Stabilizer,"Sodium Alginate, Ammonium Alginate, Potassium Alginate",False,True
mineral salt (lithium and magnesium compounds),,,,,,"viscosity modifier, emulsion stabilizer","lithium nitrate, lithium chloride, lithium carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate",False,True
water insoluble active ingredient,,,"vitreoscilla ferment, silica, boron nitride",,,active ingredient,"vitreoscilla ferment, silica, boron nitride",True,False
Alginic Acid and Alginates,,,"Alginic Acid, Sodium Alginate, Ammonium Alginate, Potassium Alginate",,,Emulsifier,,False,True
vitreoscilla ferment,,,,,,skin conditioning agent,,True,False
"acrylic acid homopolymer crosslinked with allyl ether of pentaerythritol, sucrose, or propylene",,,Carbomer,,,emulsion stabilizer,"pentaerythritol, propylene, sucrose",False,True
alginate,,,"Algin, Alginic Acid",,,emulsifier,"sodium alginate, ammonium alginate, potassium alginate, alginic acid",False,True
