NAME,PLACEHOLDER,ROLE_OF_PLACEHOLDER,STANDARD_NAMES,SOURCE_SUPPLIER,SUPPLYING_COMPANY,FUNCTIONAL_ROLES,MENTIONED_EXAMPLES,IS_ACTIVE_INGREDIENT,IS_STRUCTURAL_COMPONENT
C-glycoside derivative,"X, R, S",Structural component in glycoside formula,"C-B-D-xylopyranoside-2-hydroxypropane, C-a-D-xylopyranoside-2-hydroxypropane",,,"skin conditioning agent, skin brightening agent, anti-aging agent, collagen booster","D-glucose, D-xylose, N-acetyl-D-glucosamine, 1-(C-β-D-galactopyranosyl)-2-hydroxypropane",True,True
Type VII Collagen,,,Collagen Type VII,,,"skin conditioning agent, binding agent",,False,True
Type I Collagen,,,Collagen Type I,,,"skin conditioning agent, binding agent",,False,True
Type III Collagen,,,Collagen Type III,,,"skin conditioning agent, binding agent",,False,True
Ascorbic Acid Derivatives,,,"Ascorbic Acid, Vitamin C, Ascorbic Acid Derivatives",,,"collagen booster, anti-aging agent, antioxidant","ascorbyl-2 glucoside, sodium ascorbyl phosphate, ascorbic acid saccharide esters, metal salts of phosphoryl ascorbic acid",True,False
Procollagen A Chain,,,Procollagen,,,"Skin conditioning agent, Collagen synthesis stimulation","Type I Collagen, Type III Collagen, Type VII Collagen",True,True
Type VII Collagen,,,"Collagen, Type VII Collagen",,,"structural component, cohesion between epidermal and dermal tissues","type VII collagen, collagen V, collagen III, collagen I",False,True
Elastin,,,Elastin,,,structural component,,False,True
Extracellular Matrix Ground Substance,,,Ground Substance,,,structural component,,False,True
Halogen,"X, R, S",Structural component in chemical formulas,"Chlorine, Fluorine, Bromine, Iodine",,,Structural component,,False,True
Aryl,aromatic ring,Aromatic structural component,,,,Aromatic structural component,phenyl,False,True
C-glycoside derivative,"S, R, X",Structural bridge in glycoside derivatives,,,,humectant,"D-glucose, D-xylose, N-acetyl-D-glucosamine, L-fucose",True,True
C-Cycloalkyl Radical,C;-Cq cycloalkyl radical,Structural component in chemical formula,,,,,,False,True
C-glycoside derivative,"R, X, S",Structural component in C-glycoside,,,,Structural component,,False,True
Monosaccharide or Polysaccharide,S,Structural component in glycosides,,,,Structural component,"D-glucose, D-xylose, L-fucose, D-galactose, D-maltose",False,True
C-glycoside derivative,"S, X, R",Functional bridge in glycoside structure,C-anomeric bond,,,"Anti-aging, Collagen synthesis enhancer","C-β-D-xylopyranoside-n-propan-2-one, C-α-D-xylopyranoside-n-propan-2-one, C-β-D-xylopyranoside-2-hydroxypropane",True,True
cosmetically acceptable salts,,,,,,"solvates, isomers",,False,True
C-glycoside derivative and ascorbic acid combination,,,"C-glycoside derivative, ascorbic acid",,,"anti-aging, collagen synthesis, skin elasticity","ascorbic acid saccharide esters, metal salts of phosphoryl ascorbic acid",True,False
